Catalogue ID,Title,Title (PT),Domain,Projects,What it contains,Key variables,Who holds it,Producer,Contact,Spatial coverage,Native spatial resolution,Analysis unit,Temporal coverage,Temporal resolution,Update frequency,Latency,Access,Access URL,Formats,Licence,Sharing conditions,Personal data,Linkage key,Known limitations,Holding status,Steward,Record status
CLI-005,INMET automatic station network,Rede de estações automáticas do INMET,Climate,YF-TMIN; DENGUE-SUHI; ACL-AMZ,"The national network of automatic surface stations. Its role here is validation: it is the ground measurement used to quantify the bias in the ERA5-Land reanalysis (CLI-001), municipality by municipality, with particular attention to Pará where stations are sparse.","Air temperature (instantaneous, max, min); relative humidity; precipitation; wind; pressure; radiation",INMET - Instituto Nacional de Meteorologia,INMET,INMET data portal,"Brazil - station network, sparse in the Amazon",Point stations,"Station, matched to the containing municipality",2000-present for the automatic network,Hourly,"Continuous, hourly",Hours,Open,https://portal.inmet.gov.br/dadoshistoricos,CSV,"Open government data, attribution to INMET",Redistributable with attribution.,No,Station code and coordinates; IBGE municipality code; date,"Very sparse in Pará, so the bias estimate will have wide uncertainty over much of the ACL study area, and that uncertainty should be reported rather than smoothed over. Gaps and sensor changes are common and are not always flagged in the files.",To be acquired - bias quantification against ERA5-Land,IPSP Climate and Health Laboratory,Draft
CLI-006,ANA hydrological station network (HidroWeb),Rede hidrológica da ANA (HidroWeb),Climate,ACL-AMZ,"River stage and discharge measured at gauging stations on Amazonian rivers. This is the measured alternative to using extreme rainfall as a stand-in for flooding: a river level above its flood reference is an observation, not an inference.",River stage (cm); discharge (m3/s); rainfall at co-located gauges; flood reference level,ANA - Agência Nacional de Águas e Saneamento Básico,"ANA, with state and utility operators",HidroWeb portal and the ANA API,Brazil - station network; denser on main Amazonian channels than on tributaries,Point stations on river reaches,"Station, assigned to downstream municipalities in its catchment",Varies by station; many Amazonian records run from the 1970s,Daily stage readings; sub-daily at telemetric stations,Daily to near real time at telemetric stations,Hours at telemetric stations; months for validated historical series,Open,https://www.snirh.gov.br/hidroweb/,"CSV, API","Open government data, attribution to ANA",Redistributable with attribution.,No,Station code with coordinates; IBGE municipality code of the catchment; date,"A gauge measures the river, not the floodplain. Stations sit on main channels, so flooding in small tributary settlements - where ACL transmission concentrates - may not register. Assess coverage against the case municipalities before committing.",Candidate - under assessment for the inundation layer,IPSP Climate and Health Laboratory,Draft
ENV-001,MODIS vegetation greenness (NDVI),Índice de vegetação (NDVI) - MODIS,Environment,YF-TMIN; ACL-AMZ,"Satellite measure of how green and dense vegetation is. Two variants are held: a ~1 km series obtained through NASA AppEEARS for the yellow fever work, and the 250 m MOD13Q1 product obtained through Google Earth Engine for the leishmaniasis work.","NDVI (maximum, mean, minimum, standard deviation per municipality)","NASA - LP DAAC, accessed through AppEEARS and Google Earth Engine",NASA MODIS (Terra/Aqua),NASA EARTHDATA account,Global; downloaded for Brazil (YF) and Pará (ACL),250 m (MOD13Q1) and ~1 km (AppEEARS extract),Municipality (spatial statistic),1999-2025 (YF extract); 2000-2024 (ACL extract),"16-day composites, averaged to monthly",Every 16 days,Days to weeks,Open - registration required,https://appeears.earthdatacloud.nasa.gov/,"GeoTIFF, HDF, CSV extracts","NASA open data, attribution requested",Redistributable with attribution.,No,IBGE municipality code; month,"Persistent cloud in the Amazon thins the usable composites. Monthly NDVI is joined onto a weekly panel in the YF work, so the greenness value repeats across weeks within a month.",In use,IPSP Climate and Health Laboratory,Verified
ENV-002,MapBiomas land cover and land use,MapBiomas - cobertura e uso da terra,Environment,YF-TMIN; DENGUE-SUHI; ACL-AMZ,"Annual national land-cover map from Landsat imagery. Supplies forest cover and fragmentation for the yellow fever work, and areas of deforestation, secondary regrowth, agriculture and water for the leishmaniasis work.","Class areas per municipality-year: forest, secondary vegetation, agriculture, pasture, urban, water; derived fragmentation metrics",MapBiomas project (Brazilian civil-society and academic network),"MapBiomas, Collection 9",MapBiomas platform,Brazil,30 m (Landsat); municipality statistics also distributed pre-summarised,Municipality x year (percentage or hectares per class),1985-2023 (Collection 9),Annual,"Annual, with a new collection roughly every year",About 1 year,Open - registration for bulk download,https://brasil.mapbiomas.org/,"GeoTIFF, XLSX municipality statistics",CC BY-SA 4.0,Redistributable under CC BY-SA with attribution to MapBiomas and the collection number.,No,IBGE municipality code (7-digit); year,"Collections are reprocessed retrospectively, so a series downloaded today will not match one downloaded two years ago. Always record the collection number.",In use,IPSP Climate and Health Laboratory,Verified
ENV-003,Built-up surface index (NDBI),Índice de área construída (NDBI),Environment,ACL-AMZ,"Satellite measure of how built-up or bare a surface is, derived from Landsat and Sentinel-2 imagery in Google Earth Engine and reduced to a yearly median per municipality.",NDBI (yearly median per municipality),"USGS (Landsat) and ESA (Sentinel-2), accessed through Google Earth Engine","IPSP, computed in Google Earth Engine",Google Earth Engine account,State of Pará,30 m for 2000-2016 (Landsat); 10 m for 2017-2024 (Sentinel-2),Municipality x year,2000-2024,Yearly median,Recomputed on demand,Days,Open - registration required,https://earthengine.google.com/,CSV export from GEE,Landsat public domain; Sentinel-2 Copernicus licence,Derived series redistributable with attribution to USGS and ESA.,No,IBGE municipality code; year,"The sensor changes in 2017, so the 30 m and 10 m halves of the series are not directly comparable. Treat the break explicitly in any trend model.",In use,IPSP Climate and Health Laboratory,Verified
ENV-004,Land surface temperature for urban heat islands,Temperatura de superfície (LST) para ilhas de calor,Environment,DENGUE-SUHI,"Thermal satellite imagery giving surface temperature across the city, used to map the heat-island pattern between the sparse weather stations and to characterise every census sector.",Land surface temperature; derived surface urban heat island intensity per census sector,"USGS (Landsat 8/9) and NASA (MODIS), accessed through Google Earth Engine",USGS / NASA,Google Earth Engine account,Municipality of São Paulo,100 m thermal resampled to 30 m (Landsat); 1 km (MODIS),Census sector (zonal mean),2013-present (Landsat 8/9); 2000-present (MODIS),16-day revisit per satellite (about 8 days combined); MODIS twice daily,Continuous with each overpass,Days,Open,https://earthengine.google.com/,"GeoTIFF, CSV export",Landsat public domain; NASA open data,Redistributable with attribution.,No,IBGE census sector code (2022); date,"Surface temperature is not air temperature, and cloud cover removes many São Paulo summer scenes - exactly the season the dengue analysis cares about. Use as a spatial pattern to complement CLI-004, not as a substitute for it.",Candidate - not yet acquired,IPSP Climate and Health Laboratory,Draft
ENV-005,Terrain elevation and slope (SRTM),Altimetria e declividade (SRTM),Environment,YF-TMIN,"Digital elevation model used to derive mean slope and relief range per municipality, as context for temperature and for vector habitat.",Elevation; mean slope; relief range per municipality,"NASA, accessed through AppEEARS",NASA SRTMGL3 v3 (90 m),NASA EARTHDATA account,Brazil (Southeast verified),90 m,Municipality,Static - 2000 survey,Static,None - fixed layer,Not applicable,Open - registration required,https://appeears.earthdatacloud.nasa.gov/,GeoTIFF,NASA open data,Redistributable with attribution.,No,IBGE municipality code (7-digit),A single 2000 survey; no change over time. A municipality mean hides the range that matters in mountainous terrain.,In use,IPSP Climate and Health Laboratory,Verified
ENV-006,WorldClim elevation (coarse backup),"Altimetria WorldClim (reserva, baixa resolução)",Environment,YF-TMIN,Coarse global elevation layer held as a fallback. Retained in the catalogue for completeness and explicitly not used in the models.,Elevation,"WorldClim (University of California, Davis)",WorldClim v2.1,worldclim.org,Global,~18 km (10 arc-minutes),Municipality,Static - 1970-2000 baseline,Static,None,Not applicable,Open,https://www.worldclim.org/,GeoTIFF,CC BY-SA 4.0,Redistributable with attribution.,No,IBGE municipality code,Too coarse for municipality-level work - superseded by ENV-005 and not used in any model.,"Held, not used",IPSP Climate and Health Laboratory,Verified
ENV-007,"Human footprint index, HIBR-10",Índice de pegada humana - HIBR-10,Environment,ACL-AMZ,"Human Impact on the Brazilian Environment at 10 m resolution (HIBR-10): a national raster scoring human pressure on every 10 m cell from land cover, building density, and distance to major roads, railways and navigable waterways. It is the highest-resolution human footprint layer available for Brazil.","Weighted human footprint score, 0-100 (rescaled from 0-10); component layers supplied separately","Zenodo deposit 10.5281/zenodo.15306587 (Hamilton & Presotto, 2025)","Presotto A, Hamilton S, Izar P. A 10-meter resolution human footprint dataset to support biodiversity and conservation studies in Brazil. Scientific Data 2025;12:1754. doi:10.1038/s41597-025-06034-0","Stuart Hamilton, East Carolina University (corresponding author)","Brazil, all biomes; clipped to State of Pará for this project","10 m (86.5 billion cells), projected EPSG:5880 SIRGAS 2000 / Brazil Polyconic",Municipality (zonal mean of the footprint score),Static - built from 2023 Sentinel-2 land cover and post-2020 building footprints,Static,"By release version; the file is HFI_Weighted_vx.tif, higher x is a later release",Not applicable,Open,https://zenodo.org/records/15306587,"GeoTIFF (raster), Shapefile (input vectors)","Article CC BY-NC-ND 4.0. Check the Zenodo deposit terms before redistributing any derived layer, since NC-ND would restrict it.",Cite Presotto et al. 2025 and the Zenodo DOI. Confirm the deposit licence before publishing a derived or reweighted layer.,No,IBGE municipality code (7-digit),"NoData is coded 255, not null - set it explicitly or the zonal means are wrong. Scores are rescaled 0-100 from the published 0-10 scale. The aggregation weights (40% land cover, 40% building density, 10% major roads, 5% railways, 5% waterways) are the authors' choices for primate conservation; the authors intend users to reweight for their own question, which for ACL might mean raising forest-edge and waterway terms. A single snapshot, so no change over the 2000-2024 study period.",In use,IPSP Climate and Health Laboratory,Verified
ENV-008,Satellite surface-water and flood extent,Extensão de água superficial e inundação por satélite,Environment,ACL-AMZ,"Mapped water surface through time, from the JRC Global Surface Water record and MapBiomas Água. Together these give seasonal and permanent water extent per municipality, which is the closest thing to a real inundation layer without new field data.",Water occurrence and seasonality; monthly water extent; flooded area per municipality-month,European Commission Joint Research Centre (JRC); MapBiomas project,JRC Global Surface Water (Landsat); MapBiomas Água,Google Earth Engine account; MapBiomas platform,Global (JRC) and Brazil (MapBiomas Água); subset State of Pará,30 m (both products),Municipality x month (flooded area and share of municipal area),1984-present (JRC); 1985-2023 (MapBiomas Água),Monthly (JRC history) and annual/monthly (MapBiomas Água),Annual reprocessing,About 1 year,Open,https://global-surface-water.appspot.com/,"GeoTIFF, Earth Engine image collections",JRC open data (CC BY 4.0); MapBiomas CC BY-SA 4.0,Redistributable with attribution to each product.,No,IBGE municipality code; year-month,"Optical sensors cannot see water under forest canopy or through Amazonian cloud, which is exactly when and where flooding matters. Treat as a lower bound. If canopy flooding proves important, radar (Sentinel-1) would be the next step, at a higher processing cost.",Candidate - under assessment for the inundation layer,IPSP Climate and Health Laboratory,Draft
REF-001,IBGE municipal boundaries,Malha municipal - IBGE,Reference,YF-TMIN; DENGUE-SUHI; ACL-AMZ,"The official municipal boundary geometry. Every gridded climate and environmental layer is reduced to municipality values against this mesh, so it is the join that holds the whole catalogue together.",Municipality polygon; 7-digit IBGE code; name; state; area,IBGE - Instituto Brasileiro de Geografia e Estatística,IBGE,IBGE geoportal,"Brazil - about 5,570 municipalities","Vector polygons, 1:250,000",Municipality,Annual editions; 2022 edition in use,Annual boundary revision,Annual,Months,Open,https://www.ibge.gov.br/geociencias/,"Shapefile, GeoPackage","Open government data, attribution to IBGE",Redistributable with attribution.,No,"IBGE municipality code - 7-digit here, 6-digit in health files (cod6 = cod7 // 10)","Municipalities are created and boundaries change between editions, so long time series need a fixed reference year stated up front.",In use,IPSP Climate and Health Laboratory,Verified
REF-002,IBGE 2022 census - sector-level indicators,Censo 2022 - setores censitários,Reference,DENGUE-SUHI,"Population, income, household density and sanitation indicators at census-sector level, the finest official social geography available. Supplies both the denominator and the main confounders for the São Paulo heat-island analysis.",Resident population; household density; income; water supply; sewerage connection; waste collection; sector polygon,IBGE,"IBGE, Censo Demográfico 2022",IBGE data portal,Brazil; subset municipality of São Paulo,Census sector (roughly 300 households),Census sector,2022 reference year,Decennial,"Every 10 years, with staged releases of each indicator set",1-3 years per release wave,Open,https://www.ibge.gov.br/estatisticas/sociais/populacao/,"CSV, Shapefile, GeoPackage","Open government data, attribution to IBGE",Redistributable with attribution. Small-count suppression rules already applied by IBGE.,No - aggregated to sector,IBGE census sector code (2022),"Sector boundaries changed between 2010 and 2022, so pre-2022 dengue years cannot be joined to 2022 sectors without an areal-interpolation step. A single snapshot cannot capture change across the 2015-2024 study window.",Candidate - not yet acquired,IPSP Climate and Health Laboratory,Draft
REF-003,Static municipal environmental context,Contexto ambiental municipal estático,Reference,YF-TMIN,"A fixed table of Köppen climate class, biome and altitude per municipality, used as unchanging context in the models.",Köppen class; biome; altitude,InfoDengue Sprint 2024-25 environmental table,InfoDengue project,InfoDengue project,Brazil,Municipality level as supplied,Municipality,Static,Static,None,Not applicable,Open,InfoDengue Sprint dataset,CSV,To be confirmed,Confirm the InfoDengue redistribution terms before republishing.,No,IBGE municipality code,One class per municipality flattens real internal variation in large municipalities.,In use,IPSP Climate and Health Laboratory,Verified
DER-001,Municipality zonal statistics and climate anomaly indicators,Estatísticas zonais e indicadores de anomalia climática,Derived,YF-TMIN,"The published municipality-level climate summaries and anomaly indicators produced by the laboratory, deposited on Zenodo so that others can reuse the processing rather than repeat it.",Municipality zonal statistics for the ERA5-Land variables; anomaly indicators against the weekly normals,IPSP Climate and Health Laboratory; hosted by Zenodo,IPSP,IPSP Climate and Health Laboratory,Brazil,Derived from the ~9 km ERA5-Land grid,Municipality x week,Matches the ERA5-Land series,Weekly,On new deposit version,Not applicable,Open,https://zenodo.org/records/10036212 and https://zenodo.org/records/18787683,"CSV, Parquet",As stated on the Zenodo record,Openly citable by DOI. Cite the deposit version used.,No,IBGE municipality code; ISO week,Fixed at the deposit date; re-run against current ERA5-Land for recent years.,In use - published,IPSP Climate and Health Laboratory,Verified
DER-002,Yellow fever exposure indicators,Indicadores de exposição - febre amarela,Derived,YF-TMIN,"Exposure variables built from minimum temperature rather than downloaded: warm-night counts, warm spells and anomalies against the weekly normals. These are the actual model inputs.",Days with Tmin above 17 C; runs of 7 or more consecutive warm days in April-September; Tmin anomaly against the 1981-2010 and 1991-2020 normals; extreme-rainfall weeks above the 99th percentile,IPSP Climate and Health Laboratory,IPSP,IPSP Climate and Health Laboratory,"Southeast Brazil - 1,668 municipalities",Derived from ERA5-Land municipality means,Municipality x epidemiological week,2016-2025 for the modelling window,Weekly,Recomputed when ERA5-Land is refreshed,Follows CLI-001,Internal - to be published with the paper,Internal repository,"CSV, Parquet",CC BY 4.0 proposed on publication,Shareable with collaborators now; deposit publicly at acceptance.,No,IBGE municipality code; ISO week,"Thresholds (17 C, 7 days, 99th percentile) are analytical choices, not properties of the data - record the version used with every result. Flooding has no dataset and is approximated by extreme rainfall.",In use,IPSP Climate and Health Laboratory,Verified
DER-003,Leishmaniasis climate and vector indicators,Indicadores climáticos e vetoriais - leishmaniose,Derived,ACL-AMZ,"Indicators built from temperature, rainfall and humidity for the ACL models, including a simple sand-fly population simulation. Relative humidity is computed from ERA5-Land dew-point using the same method as the yellow fever work.","Relative humidity derived from 2 m dew-point and air temperature; seasonal temperature, rainfall and humidity anomalies (2000-2024 baseline); accumulated warmth above 10 C; favourable-infection flag (22-28 C and rainfall above 50 mm); simulated sand-fly density; 1-8 month lags; 3-month rolling mean of case counts",IPSP Climate and Health Laboratory,IPSP,IPSP Climate and Health Laboratory,State of Pará,Derived from ERA5-Land municipality means,Municipality x month,2000-2024,Monthly,Recomputed on demand,Follows CLI-001,Internal - to be published with the paper,Internal repository,"CSV, Parquet",CC BY 4.0 proposed on publication,Shareable with collaborators now; deposit publicly at acceptance.,No,IBGE municipality code; year-month,"The favourable-infection thresholds and the vector model are assumptions carried into every downstream result; document and sensitivity-test them. The 2000-2024 anomaly baseline is the study period itself, which shrinks apparent trends. Humidity is derived, not measured - validate against INMET stations (CLI-005).",In use,IPSP Climate and Health Laboratory,Verified
